athlete,country,Max_Log_Lift,Carry_Hoist,Keg_Toss,Manhood_Stones,Trap_Bar_Deadlift,Super_Yoke,Chest_Press,Medley
E. Singleton,USA,7,2,T6,12,T1,6,T2,4
L. Hatton,USA,1,12,T14,4,T1,3,1,6
T. Evans,USA,3,10,T6,8,3,5,T2,9
A. Andrade,USA,T5,11,T10,3,T4,2,T5,10
B. Johnson,USA,T13,3,T10,1,T6,4,T8,5
T. Mitchell,USA,2,16,T2,2,T4,10,4,12
T. Hoath,CAN,T13,5,T6,5,T11,1,T10,8
T. Stoltman,GBR,4,7,T6,7,T11,7,T8,11
W. Derwinsky,CAN,T13,8,T2,10,10,11,13,2
O. Fojtů,CZE,T5,4,T14,13,T6,8,T5,14
E. Williams,AUS,T13,1,T12,9,T6,12,T10,7
N. Guardione,USA,T8,13,5,6,13,13,14,3
J. Spurgeon,USA,T8,6,T14,11,9,9,T5,13
M. Boudreault,CAN,11,9,1,DNS,14,14,T10,1
S. Flowers,GBR,12,15,T2,DNS,DNS,DNS,DNS,DNS
B. Thompson,USA,10,14,T12,DNS,DNS,DNS,DNS,DNS
